iter	Passed	Remaining
0	148	148617
1	150	74917
2	151	50499
3	154	38371
4	156	31086
5	157	26133
6	158	22506
7	161	19967
8	161	17819
9	163	16185
10	164	14780
11	166	13667
12	167	12705
13	168	11838
14	168	11087
15	169	10448
16	171	9909
17	172	9416
18	173	8956
19	174	8555
20	176	8220
21	177	7900
22	178	7597
23	179	7313
24	180	7049
25	181	6805
26	182	6586
27	183	6371
28	184	6176
29	185	5993
30	186	5819
31	186	5650
32	187	5502
33	188	5360
34	189	5226
35	190	5102
36	191	4979
37	192	4862
38	192	4748
39	193	4639
40	193	4534
41	194	4435
42	195	4341
43	195	4255
44	196	4168
45	197	4086
46	197	4005
47	198	3928
48	198	3853
49	199	3782
50	199	3714
51	200	3648
52	200	3584
53	201	3523
54	201	3465
55	202	3412
56	203	3358
57	203	3306
58	204	3259
59	205	3212
60	205	3164
61	206	3119
62	206	3074
63	207	3030
64	207	2988
65	208	2947
66	208	2907
67	209	2865
68	209	2828
69	210	2792
70	210	2756
71	211	2722
72	211	2687
73	212	2655
74	212	2623
75	213	2592
76	213	2563
77	214	2534
78	214	2505
79	215	2477
80	215	2449
81	216	2422
82	216	2397
83	217	2371
84	217	2344
85	218	2320
86	218	2295
87	219	2273
88	219	2251
89	220	2231
90	221	2210
91	221	2189
92	222	2169
93	223	2150
94	223	2129
95	224	2110
96	224	2090
97	225	2071
98	225	2053
99	226	2036
100	226	2019
101	227	2000
102	227	1984
103	228	1967
104	228	1950
105	229	1934
106	229	1918
107	230	1902
108	230	1886
109	231	1871
110	231	1856
111	232	1842
112	232	1828
113	233	1814
114	234	1802
115	234	1788
116	235	1775
117	235	1762
118	236	1749
119	236	1736
120	237	1724
121	237	1712
122	238	1698
123	238	1687
124	239	1675
125	239	1664
126	240	1652
127	240	1640
128	241	1629
129	241	1618
130	242	1607
131	242	1596
132	243	1585
133	243	1575
134	244	1564
135	244	1554
136	245	1544
137	245	1534
138	246	1525
139	246	1516
140	247	1506
141	247	1497
142	248	1488
143	248	1479
144	249	1471
145	250	1462
146	250	1454
147	251	1445
148	251	1437
149	252	1429
150	252	1421
151	253	1412
152	253	1404
153	254	1396
154	254	1388
155	255	1381
156	255	1373
157	256	1366
158	256	1359
159	257	1351
160	258	1344
161	258	1337
162	259	1330
163	259	1323
164	260	1316
165	260	1309
166	261	1302
167	261	1295
168	262	1288
169	262	1282
170	263	1276
171	263	1270
172	264	1264
173	265	1258
174	265	1252
175	266	1246
176	266	1240
177	267	1233
178	267	1227
179	268	1221
180	268	1214
181	268	1208
182	269	1203
183	269	1197
184	270	1191
185	271	1186
186	271	1180
187	272	1174
188	272	1169
189	272	1163
190	273	1158
191	274	1153
192	274	1148
193	275	1143
194	275	1138
195	276	1133
196	276	1128
197	277	1123
198	277	1118
199	278	1114
200	279	1110
201	279	1105
202	280	1101
203	280	1096
204	281	1091
205	282	1086
206	282	1082
207	283	1077
208	283	1073
209	284	1068
210	284	1064
211	285	1060
212	285	1055
213	286	1051
214	286	1047
215	287	1042
216	287	1038
217	288	1034
218	288	1030
219	289	1025
220	289	1021
221	290	1017
222	290	1013
223	291	1009
224	291	1005
225	292	1001
226	292	997
227	293	993
228	294	990
229	294	986
230	295	983
231	295	979
232	296	975
233	297	972
234	297	969
235	298	966
236	298	962
237	299	959
238	300	956
239	300	952
240	301	949
241	301	945
242	302	942
243	302	938
244	303	935
245	304	932
246	304	929
247	305	925
248	305	922
249	306	918
250	306	915
251	307	912
252	307	909
253	308	907
254	309	905
255	310	902
256	311	899
257	311	896
258	312	893
259	312	889
260	313	886
261	313	883
262	314	881
263	315	878
264	315	875
265	316	872
266	316	869
267	317	866
268	318	864
269	318	861
270	319	858
271	319	856
272	320	853
273	321	850
274	321	847
275	322	844
276	322	842
277	323	839
278	324	838
279	325	836
280	325	833
281	326	831
282	327	828
283	327	826
284	328	823
285	328	821
286	329	818
287	330	815
288	330	813
289	331	811
290	331	808
291	332	806
292	333	803
293	333	801
294	334	798
295	334	796
296	335	793
297	335	791
298	336	788
299	336	786
300	337	783
301	338	781
302	338	779
303	340	778
304	340	776
305	341	774
306	341	771
307	342	769
308	343	767
309	343	764
310	344	762
311	344	759
312	345	757
313	345	755
314	346	752
315	346	750
316	347	748
317	347	746
318	348	743
319	348	741
320	349	739
321	349	736
322	350	734
323	351	732
324	351	730
325	352	728
326	352	726
327	353	723
328	354	722
329	354	720
330	355	718
331	355	715
332	356	713
333	356	711
334	357	709
335	357	707
336	358	705
337	359	703
338	359	701
339	360	699
340	360	697
341	361	695
342	361	693
343	362	691
344	362	689
345	363	687
346	364	685
347	364	683
348	365	681
349	365	679
350	366	677
351	366	675
352	367	673
353	368	671
354	368	669
355	369	668
356	370	666
357	370	664
358	371	662
359	371	661
360	372	659
361	372	657
362	373	655
363	374	653
364	374	651
365	375	649
366	375	648
367	376	646
368	376	644
369	377	642
370	377	640
371	378	639
372	379	637
373	379	635
374	380	633
375	380	632
376	381	630
377	382	628
378	382	626
379	383	625
380	383	623
381	384	622
382	385	620
383	385	618
384	386	616
385	386	615
386	387	613
387	387	611
388	388	609
389	388	608
390	389	606
391	389	604
392	390	603
393	390	601
394	391	599
395	392	598
396	392	596
397	393	594
398	393	593
399	394	591
400	394	589
401	395	588
402	396	586
403	396	585
404	397	583
405	397	582
406	398	580
407	399	579
408	399	577
409	400	576
410	400	574
411	401	572
412	402	571
413	402	569
414	403	568
415	403	566
416	404	565
417	404	563
418	405	561
419	405	560
420	406	558
421	406	557
422	407	555
423	408	554
424	408	552
425	409	551
426	409	550
427	410	548
428	411	547
429	411	545
430	412	544
431	412	542
432	413	541
433	413	539
434	414	538
435	415	537
436	415	535
437	416	534
438	416	532
439	417	531
440	418	530
441	418	528
442	419	527
443	420	525
444	420	524
445	421	523
446	421	521
447	422	520
448	422	518
449	423	517
450	423	516
451	424	514
452	425	513
453	425	511
454	426	510
455	426	508
456	427	507
457	427	506
458	428	504
459	428	503
460	429	502
461	430	500
462	430	499
463	431	498
464	431	496
465	432	495
466	432	494
467	433	492
468	434	491
469	434	490
470	435	489
471	436	487
472	436	486
473	437	485
474	437	483
475	438	482
476	438	481
477	439	479
478	440	478
479	440	477
480	441	475
481	441	474
482	442	473
483	442	472
484	443	470
485	443	469
486	444	468
487	445	467
488	445	465
489	446	464
490	446	463
491	447	462
492	448	460
493	448	459
494	449	458
495	449	457
496	450	455
497	450	454
498	451	453
499	452	452
500	452	450
501	453	449
502	453	448
503	454	446
504	454	445
505	455	444
506	455	443
507	456	441
508	456	440
509	457	439
510	458	438
511	458	437
512	459	436
513	460	435
514	461	434
515	461	433
516	462	432
517	463	430
518	463	429
519	464	428
520	464	427
521	465	425
522	465	424
523	466	423
524	466	422
525	467	421
526	467	419
527	468	418
528	469	417
529	469	416
530	470	415
531	470	414
532	471	412
533	471	411
534	472	410
535	472	409
536	473	408
537	474	407
538	475	406
539	475	405
540	476	403
541	476	402
542	477	401
543	477	400
544	478	399
545	478	398
546	479	396
547	479	395
548	480	394
549	481	393
550	481	392
551	482	391
552	482	390
553	483	389
554	483	387
555	484	386
556	484	385
557	485	384
558	486	383
559	486	382
560	487	381
561	487	380
562	488	379
563	489	378
564	490	377
565	490	376
566	491	375
567	491	374
568	492	372
569	492	371
570	493	370
571	494	369
572	494	368
573	495	367
574	495	366
575	496	365
576	496	364
577	497	363
578	498	362
579	498	361
580	499	360
581	499	359
582	500	357
583	501	356
584	501	355
585	502	354
586	502	353
587	503	352
588	503	351
589	504	350
590	505	349
591	505	348
592	506	347
593	506	346
594	507	345
595	507	344
596	508	343
597	509	342
598	509	341
599	510	340
600	510	339
601	511	337
602	511	336
603	512	335
604	512	334
605	513	333
