iter	Passed	Remaining
0	148	148114
1	151	75494
2	154	51230
3	156	39037
4	159	31712
5	161	26714
6	161	22980
7	163	20239
8	164	18065
9	164	16313
10	166	14994
11	167	13827
12	169	12882
13	170	11984
14	171	11247
15	171	10565
16	172	9968
17	173	9473
18	174	9014
19	175	8605
20	176	8222
21	177	7889
22	178	7567
23	179	7283
24	179	7013
25	180	6773
26	181	6555
27	182	6348
28	183	6150
29	184	5965
30	185	5795
31	185	5625
32	186	5470
33	187	5326
34	188	5192
35	189	5064
36	189	4942
37	190	4826
38	191	4714
39	191	4606
40	192	4505
41	193	4411
42	194	4318
43	194	4231
44	195	4147
45	196	4070
46	197	3994
47	197	3918
48	198	3846
49	198	3776
50	199	3708
51	199	3643
52	200	3579
53	200	3518
54	201	3460
55	201	3403
56	202	3347
57	202	3294
58	203	3244
59	203	3194
60	204	3146
61	204	3100
62	205	3054
63	205	3011
64	206	2968
65	206	2927
66	207	2887
67	207	2848
68	208	2811
69	208	2775
70	209	2739
71	209	2705
72	210	2673
73	211	2641
74	211	2611
75	212	2580
76	212	2550
77	213	2525
78	214	2497
79	214	2469
80	215	2442
81	215	2416
82	216	2387
83	216	2362
84	217	2338
85	217	2314
86	218	2290
87	218	2267
88	219	2244
89	219	2224
90	220	2203
91	221	2181
92	221	2160
93	222	2140
94	222	2120
95	223	2100
96	223	2081
97	224	2063
98	224	2045
99	225	2027
100	226	2011
101	226	1996
102	227	1979
103	227	1963
104	228	1947
105	228	1930
106	229	1915
107	230	1900
108	230	1884
109	231	1869
110	231	1856
111	232	1843
112	232	1828
113	233	1814
114	233	1800
115	234	1787
116	234	1772
117	235	1759
118	235	1746
119	236	1734
120	236	1721
121	237	1708
122	238	1698
123	238	1686
124	239	1674
125	239	1663
126	240	1651
127	240	1641
128	241	1630
129	242	1619
130	242	1608
131	243	1598
132	243	1587
133	244	1577
134	244	1567
135	245	1556
136	245	1546
137	246	1536
138	246	1526
139	247	1517
140	247	1508
141	247	1497
142	248	1488
143	248	1479
144	249	1470
145	249	1461
146	250	1452
147	250	1444
148	251	1435
149	251	1427
150	252	1419
151	252	1410
152	253	1402
153	253	1394
154	254	1386
155	254	1378
156	255	1371
157	255	1364
158	256	1357
159	257	1350
160	257	1343
161	258	1336
162	258	1329
163	259	1322
164	259	1315
165	260	1308
166	260	1301
167	261	1294
168	261	1287
169	262	1280
170	262	1274
171	263	1267
172	263	1261
173	264	1255
174	264	1249
175	265	1242
176	265	1236
177	266	1230
178	267	1224
179	267	1218
180	268	1212
181	268	1207
182	269	1201
183	269	1196
184	270	1191
185	271	1186
186	271	1181
187	272	1175
188	272	1170
189	273	1165
190	273	1160
191	274	1155
192	275	1149
193	275	1144
194	276	1140
195	276	1135
196	277	1131
197	278	1126
198	278	1121
199	279	1117
200	279	1112
201	280	1107
202	280	1102
203	281	1098
204	282	1093
205	282	1089
206	283	1084
207	283	1080
208	284	1076
209	284	1071
210	285	1067
211	286	1064
212	286	1060
213	287	1056
214	288	1051
215	288	1047
216	289	1043
217	289	1039
218	290	1035
219	290	1030
220	291	1026
221	291	1022
222	292	1018
223	292	1014
224	293	1011
225	294	1007
226	294	1003
227	295	999
228	295	995
229	296	992
230	297	988
231	297	985
232	298	981
233	298	977
234	299	974
235	300	971
236	300	968
237	301	965
238	302	962
239	303	959
240	303	956
241	304	952
242	304	949
243	305	946
244	306	943
245	307	941
246	307	938
247	308	935
248	309	932
